Purchase_Date,Household_ID,Category,Item,Quantity,Price
15.1.26,1013,Grocery,Oil,19,195.15
15.7.25,1013,Grocery,Flour,15,229.65
8.3.25,1013,Grocery,Oil,16,158.5
12.2.26,1013,Other Essentials,Soap,17,321.58
11.9.25,1013,Other Essentials,Shampoo,9,26.54
14.2.26,1013,Bills,WiFi,6,91.43
8.3.25,1013,Bills,Gas Cylinder,9,726.55
5.6.25,1013,Food Items,Biscuits,4,630.43
19.10.25,1013,Other Essentials,Toothpaste,10,15.93
13.10.25,1013,Grocery,Sugar,6,261.66
16.3.25,1013,Food Items,Snacks,4,74.62
3.5.25,1013,Bills,Electricity,15,637.64
27.9.25,1013,Other Essentials,Soap,12,264.7
10.12.25,1013,Bills,WiFi,6,134.31
17.7.25,1013,Other Essentials,Toothpaste,19,945.86
20.1.26,1014,Food Items,Biscuits,5,750.43
24.4.25,1014,Other Essentials,Soap,5,190.2
24.8.25,1014,Bills,Gas Cylinder,2,44.7
9.7.25,1014,Bills,Electricity,18,289.36
24.3.25,1014,Bills,Electricity,18,513.52
16.4.25,1014,Other Essentials,Shampoo,9,312.44
4.5.25,1014,Bills,WiFi,1,57.79
24.3.25,1014,Food Items,Sweets,11,628.85
24.2.26,1014,Food Items,Biscuits,12,664.83
28.9.25,1014,Bills,WiFi,14,239.19
2.1.26,1014,Grocery,Vegetables,2,654.38
10.6.25,1014,Grocery,Eggs,14,565.24
9.7.25,1014,Other Essentials,Medicine,2,766.55
3.12.25,1014,Grocery,Rice,9,749.75
19.10.25,1015,Other Essentials,Detergent,8,315.24
20.8.25,1015,Food Items,Burger,7,968.77
9.5.25,1015,Other Essentials,Soap,17,505.4
5.8.25,1015,Food Items,Burger,14,468.23
30.9.25,1015,Grocery,Eggs,8,32.54
26.1.26,1015,Other Essentials,Detergent,3,40.6
18.4.25,1015,Bills,Gas Cylinder,1,962.09
18.4.25,1015,Food Items,Biscuits,4,848.58
29.1.26,1015,Grocery,Flour,4,876.2
7.2.26,1015,Food Items,Burger,7,47.9
19.7.25,1015,Food Items,Pizza,9,828.72
21.8.25,1015,Grocery,Milk,2,491.55
26.11.25,1016,Food Items,Sweets,20,82.58
8.5.25,1016,Bills,Mobile Recharge,19,676.44
9.3.25,1016,Grocery,Vegetables,10,203.86
23.2.26,1016,Grocery,Rice,5,535.11
22.10.25,1016,Food Items,Sweets,5,574.58
6.8.25,1016,Grocery,Sugar,1,126.05
21.5.25,1016,Food Items,Snacks,3,205.36
24.5.25,1017,Grocery,Eggs,9,479.46
17.12.25,1017,Food Items,Biscuits,9,925.93
20.2.26,1017,Grocery,Vegetables,9,937.73
8.7.25,1017,Bills,Electricity,8,369.92
28.1.26,1017,Food Items,Sweets,20,307.54
29.6.25,1017,Food Items,Sweets,17,761.48
21.4.25,1017,Grocery,Oil,9,705.8
22.5.25,1017,Bills,Gas Cylinder,16,376.51
24.5.25,1018,Grocery,Oil,17,156.52
13.5.25,1018,Bills,Mobile Recharge,10,711.03
19.12.25,1018,Food Items,Pizza,15,690.07
14.6.25,1018,Bills,WiFi,11,93.11
12.11.25,1018,Bills,Gas Cylinder,4,67.68
15.3.25,1018,Other Essentials,Soap,3,877.44
1.5.25,1018,Food Items,Pizza,12,936.03
20.10.25,1018,Bills,Water,10,358.47
5.5.25,1019,Bills,Gas Cylinder,3,117.16
1.6.25,1019,Grocery,Milk,11,340.34
4.7.25,1019,Bills,Gas Cylinder,6,366.07
21.6.25,1019,Bills,Mobile Recharge,20,794.25
24.6.25,1019,Other Essentials,Toothpaste,17,947.74
1.5.25,1019,Grocery,Vegetables,6,469.79
4.1.26,1019,Other Essentials,Detergent,20,902.47
21.12.25,1019,Grocery,Rice,8,849.8
3.9.25,1019,Bills,Water,2,726.42
24.10.25,1019,Grocery,Vegetables,8,309.97
31.10.25,1019,Other Essentials,Shampoo,12,337.96
16.5.25,1019,Grocery,Rice,5,910.27
4.7.25,1019,Bills,WiFi,16,480.68
10.11.25,1020,Other Essentials,Soap,5,247.1
23.12.25,1020,Food Items,Snacks,16,419.82
1.6.25,1020,Grocery,Oil,8,940.71
5.12.25,1020,Grocery,Milk,6,74.48
30.3.25,1020,Other Essentials,Toothpaste,17,514.05
25.1.26,1020,Other Essentials,Detergent,9,580.1
28.4.25,1020,Food Items,Juice,17,455.5
20.9.25,1020,Grocery,Eggs,19,117.93
23.2.26,1020,Bills,Electricity,6,448.87
